;count;stem;variants;as_noun;as_ajct;as_verb;as_other
642;17;floor;floor;17;0;0;0
643;17;work;work / worked / working / works;6;0;11;0
644;17;job;job;17;0;0;0
645;17;mandrak;mandrake;12;0;5;0
646;17;miseri;misery;17;0;0;0
647;17;sand;sand / sands;13;0;4;0
648;17;beyond;beyond;0;0;0;17
649;17;sister;sister / sisters;17;0;0;0
650;17;wolv;wolves;16;0;1;0
651;16;judgement;judgement;10;6;0;0
652;16;ice;ice;14;0;2;0
653;16;deadli;deadly;0;10;0;6
654;16;wide;wide;0;16;0;0
655;16;shadowcast;shadowcast;14;0;1;1
656;16;crime;crime / crimes;16;0;0;0
657;16;tight;tight;0;12;1;3
658;16;juanita;juanita;6;9;1;0
659;16;savag;savage;12;4;0;0
660;16;magica;magica;14;1;0;1
661;16;wash;wash / washed;0;0;16;0
662;16;explod;explode / exploding;3;0;13;0
663;16;corner;corner;16;0;0;0
664;16;hatr;hatred;0;3;13;0
665;16;appear;appear / appeared / appears;0;0;16;0
666;16;dare;dare / dares / dared / daring;3;0;13;0
667;16;dragon;dragon / dragons;11;0;5;0
668;16;rebel;rebel / rebels;12;2;2;0
669;16;lift;lift / lifted / lifting;6;0;10;0
670;16;decid;decide / decided;0;0;13;3
671;16;ruin;ruins / ruin / ruined;11;0;5;0
672;16;seal;seal / sealing / sealed / seals;5;2;9;0
673;16;bear;bearing / bear / bears;5;0;11;0
674;16;tone;tone;16;0;0;0
675;16;anger;anger;16;0;0;0
676;16;swear;swear;0;0;16;0
677;16;deceiv;deceive / deceivers / deceiver;5;2;9;0
678;16;protect;protected / protect / protection / protects / protecting;6;1;9;0
679;16;guyana;guyana;16;0;0;0
680;15;deliv;deliver / delivering / delivered;2;0;13;0
681;15;crush;crush / crushed / crushing;1;0;14;0
682;15;count;count / counting;3;0;12;0
683;15;flow;flow / flowed / flows / flowing;5;0;10;0
684;15;rush;rush / rushing / rushes / rushed;10;0;5;0
685;15;highway;highway / highways;15;0;0;0
686;15;heal;heal / healed / heals / healing;2;0;13;0
687;15;bird;birds / bird;15;0;0;0
688;15;buri;buried / bury;3;1;11;0
689;15;hunt;hunted / hunt / hunting / hunts;2;0;13;0
690;15;wave;waves / wave / waving;5;0;10;0
691;15;pretend;pretender / pretending / pretend;11;0;4;0
692;15;slip;slip / slipped / slips / slipping;5;0;10;0
693;15;path;path / paths;15;0;0;0
694;15;dog;dogs / dog / dogged;14;0;1;0
695;15;cast;cast;3;1;11;0
696;15;darkest;darkest;1;14;0;0
697;15;juda;judas;11;2;2;0
698;15;leg;legs / legged;13;0;2;0
699;15;skin;skin / skins;14;1;0;0
700;15;bewar;beware;7;0;5;3
701;15;destini;destiny;9;5;1;0
702;15;guest;guest / guests;10;5;0;0
703;15;longer;longer;0;3;0;12
704;15;til;til;4;1;9;1
705;15;gypsi;gypsy;11;2;2;0
706;15;river;river;15;0;0;0
707;15;journey;journey;14;1;0;0
708;15;meltdown;meltdown;10;2;0;3
709;15;invis;invisible;0;15;0;0
710;15;hollywood;hollywood;15;0;0;0
711;15;fals;false;0;15;0;0
712;14;wise;wise / wisely;10;3;0;1
713;14;oak;oak;14;0;0;0
714;14;ha;ha;12;0;2;0
715;14;roar;roar / roars / roaring;11;0;3;0
716;14;fade;fading / fade / fades;2;0;12;0
717;14;terror;terror / terrorize;12;0;2;0
718;14;deni;denied / denying / deny;2;0;12;0
719;14;singl;single;0;14;0;0
720;14;fail;fail / fails / failed;0;0;14;0
721;14;spin;spinning / spin;3;0;11;0
722;14;ass;ass;13;1;0;0
723;14;blame;blame / blamed;6;0;8;0
724;14;quest;quest;8;6;0;0
725;14;lucif;lucifer;8;1;5;0
726;14;shore;shore / shores;14;0;0;0
727;14;priest;priest / priests;13;1;0;0
728;14;wound;wounds / wounded / wound / woundings;8;2;4;0
729;14;wead;wead;11;1;0;2
730;14;sacrific;sacrifice;12;0;2;0
731;14;low;low;0;14;0;0
732;14;empti;empty / emptiness;1;12;0;1
733;14;trace;trace / traces;11;0;2;1
734;14;wolf;wolf;13;1;0;0
735;14;rip;rip / ripping / rips / ripped;2;0;12;0
736;14;nake;naked;0;1;13;0
737;14;soldier;soldier / soldiers;9;5;0;0
738;14;painkil;painkiller;13;0;1;0
739;14;spread;spread / spreads / spreading / spreaded;1;1;12;0
740;14;read;read / reading;1;1;12;0
741;14;fist;fists / fist / fisted;10;0;4;0
742;14;safe;safe;0;14;0;0
743;13;prophet;prophet / prophets;13;0;0;0
744;13;winter;winter;12;0;0;1
745;13;best;best;0;11;0;2
746;13;divin;divine;7;3;3;0
747;13;mass;masses / mass;13;0;0;0
748;13;toward;towards / toward;6;0;0;7
749;13;hole;hole / holes;13;0;0;0
750;13;stick;stick / sticking;2;5;6;0
751;13;float;floating / floats;1;0;12;0
752;13;suck;sucking / suck;1;0;12;0
753;13;bloodi;bloody / bloodied;6;4;3;0
754;13;forc;forces / force / forced;9;0;4;0
755;13;given;given;0;0;13;0
756;13;iвђ;iвђ;5;6;2;0
757;13;known;known;0;0;13;0
758;13;began;began;0;0;13;0
759;13;machin;machine / machines;13;0;0;0
760;13;razor;razor;11;1;1;0
761;13;loser;losers / loser;13;0;0;0
762;13;closer;closer;2;9;0;2
763;13;dust;dust;13;0;0;0
764;13;heel;heel / heels;5;0;8;0
765;13;l;l;9;2;1;1
766;13;valkyri;valkyries;13;0;0;0
767;13;monster;monsters / monster;13;0;0;0
768;13;sabbath;sabbath;13;0;0;0
769;13;overlov;overlove;3;2;0;8
770;13;outsid;outside;0;6;0;7
771;13;shock;shock / shocked;9;1;3;0
772;13;miracl;miracle / miracles;12;0;1;0
773;13;forgiv;forgive / forgiveness;2;8;3;0
774;13;tie;tie / tied / ties;3;0;10;0
775;13;draw;draw / draws / drawing;3;0;10;0
776;13;daze;daze / dazed;3;8;2;0
777;12;courag;courage;12;0;0;0
778;12;disappear;disappear / disappeared;0;1;11;0
779;12;bow;bow / bowed;2;2;7;1
780;12;creation;creation / creations;12;0;0;0
781;12;invit;invitations / invites / inviting / invitation;9;0;3;0
782;12;jump;jump / jumping / jumped / jumps;7;1;4;0
783;12;guess;guess;8;1;2;1
784;12;ball;ball / balls;11;0;1;0
785;12;betray;betray / betrayed / betrayal / betrayer;2;0;9;1
786;12;choic;choice / choices;12;0;0;0
787;12;gather;gather / gathered / gathering;4;0;6;2
788;12;grip;grip / gripped / grips;8;0;4;0
789;12;lust;lust / lusting / lustful;7;2;3;0
790;12;prepar;prepared / prepare / preparations;1;3;8;0
791;12;welcom;welcome / welcomed;5;2;5;0
792;12;slice;slicing / slice / slices;3;0;9;0
793;12;meat;meat;12;0;0;0
794;12;sunris;sunrise;12;0;0;0
795;12;yet;yet;0;0;0;12
796;12;fell;fell;0;0;12;0
797;12;underworld;underworld;11;1;0;0
798;12;bridg;bridge;12;0;0;0
799;12;enough;enough;0;5;0;7
800;12;oath;oath;12;0;0;0
801;12;loch;lochness;3;6;0;3
802;12;unknown;unknown;0;12;0;0
803;12;sweat;sweat / sweats;10;0;2;0
804;12;maker;maker;12;0;0;0
805;12;asgard;asgard;2;0;4;6
806;12;goddamn;goddamn;12;0;0;0
807;12;rolla;rolla;12;0;0;0
808;12;freewheel;freewheel;10;0;2;0
809;12;rocka;rocka;8;0;4;0
810;12;hung;hung;2;2;8;0
811;12;stood;stood;0;0;12;0
812;12;wine;wine;11;1;0;0
813;12;east;east;9;2;0;1
814;12;maiden;maiden;6;6;0;0
815;12;lifetim;lifetime;12;0;0;0
816;12;self;self;5;4;2;1
817;12;knife;knife;9;0;3;0
818;12;lair;lair;11;0;1;0
819;12;shelter;shelter;4;6;0;2
820;12;els;else;0;0;0;12
821;12;morgu;morgue;12;0;0;0
822;12;wick;wicked;2;9;1;0
823;12;rue;rue;10;2;0;0
824;12;fugit;fugitive;0;12;0;0
825;12;led;led;0;0;12;0
826;12;harlot;harlot;12;0;0;0
827;12;retribut;retribution;12;0;0;0
828;12;ow;ow;8;3;1;0
829;12;other;others;12;0;0;0
830;12;mile;miles;12;0;0;0
831;12;vein;veins / vein;11;0;0;1
832;12;hair;hair / hairs;12;0;0;0
833;12;shell;shell / shells;10;0;1;1
834;12;kneel;kneel / kneeling;1;0;11;0
835;11;torment;torment / tormented;9;0;2;0
836;11;ash;ashes;10;0;1;0
837;11;scene;scene / scenes;11;0;0;0
838;11;wimp;wimps;11;0;0;0
839;11;besid;beside;0;0;1;10
840;11;begun;begun;0;0;11;0
841;11;beauti;beautiful / beauty;4;6;0;1
842;11;smell;smell / smells;8;0;3;0
843;11;drag;dragged / drag / dragging;0;1;10;0
844;11;travel;travel / traveling / traveller / travelling / traveled;3;0;8;0
845;11;vampir;vampire;11;0;0;0
846;11;tongu;tongue;11;0;0;0
847;11;band;band / bands;11;0;0;0
848;11;amongst;amongst;1;4;1;5
849;11;mortal;mortal / mortals / mortality;2;9;0;0
850;11;cost;cost / costs;9;0;2;0
851;11;top;top;7;4;0;0
852;11;string;string / strings;11;0;0;0
853;11;castl;castle;11;0;0;0
854;11;thor;thor;6;1;4;0
855;11;fuck;fucking / fuck;6;0;5;0
856;11;stab;stab / stabbing / stabs;6;1;4;0
857;11;paid;paid;0;0;11;0
858;11;plain;plains / plain;11;0;0;0
859;11;field;fields / field;10;0;1;0
860;11;happi;happy / happiness;2;9;0;0
861;11;reflect;reflecting / reflection / reflections / reflected / reflect;4;1;6;0
862;11;west;west;11;0;0;0
863;11;moonlight;moonlight;8;2;1;0
864;11;boot;boots / boot;11;0;0;0
865;11;conquer;conquer;0;0;11;0
866;11;beg;begging / beg;3;1;7;0
867;11;crowd;crowd;9;0;2;0
868;11;innoc;innocent / innocence;7;4;0;0
869;11;spark;spark / sparks / sparking;10;0;1;0
870;11;crawler;crawler;10;0;1;0
871;11;realiz;realize / realized;0;0;11;0
872;11;grant;grant / granted;4;0;7;0
873;11;releas;release / released / releasing;2;0;9;0
874;11;sunlight;sunlight;8;3;0;0
875;11;destroy;destroy / destroying / destroyed / destroys / destroyers;2;0;9;0
876;11;dew;dew;10;0;1;0
877;11;aveng;avenge;0;0;11;0
878;11;escap;escape / escaping;6;0;5;0
879;11;cage;cage / cages / caged;10;0;1;0
880;11;glass;glass / glasses;8;2;1;0
881;11;forgotten;forgotten;0;5;6;0
882;11;marin;mariner;11;0;0;0
883;11;melt;melting / melt / melted / melts;4;0;7;0
884;10;shatter;shattered / shattering / shatters;1;2;7;0
885;10;brand;brand / branded / branding;7;0;3;0
886;10;seek;seek / seeking;2;2;6;0
887;10;pictur;picture / pictures;10;0;0;0
888;10;ascend;ascend / ascending / ascends;1;1;8;0
889;10;mark;mark / marks / marked;7;1;2;0
890;10;defeat;defeat / defeated;4;1;5;0
891;10;spill;spilled / spill;2;0;8;0
892;10;train;train / training;10;0;0;0
893;10;crash;crashing / crash / crashed;1;0;9;0
894;10;desecr;desecration / desecrate / desecrator;8;0;2;0
895;10;suffer;suffering / suffer;3;0;7;0
896;10;dread;dread / dreadful / dreading;6;2;2;0
897;10;horror;horror / horrors;10;0;0;0
898;10;throat;throat / throats;10;0;0;0
899;10;colour;colour / colours;8;0;2;0
900;10;rite;rites / rite;10;0;0;0
901;10;spider;spider / spiders;10;0;0;0
902;10;preacher;preacher / preachers;10;0;0;0
903;10;ruler;ruler / rulers;10;0;0;0
904;10;catch;catch / catches / catching;1;0;9;0
905;10;axe;axe / axes / axed;6;1;2;1
906;10;seed;seeds / seed;10;0;0;0
907;10;confus;confusion / confused / confusing;6;2;2;0
908;10;tortur;torture / torturing / torturous;6;1;3;0
909;10;bye;bye;8;2;0;0
910;10;space;space;10;0;0;0
911;10;contract;contract;10;0;0;0
912;10;faster;faster;1;1;0;8
913;10;reveng;revenge;10;0;0;0
914;10;unborn;unborn;8;1;0;1
915;10;necromanc;necromancer;3;6;0;1
916;10;met;met;0;0;10;0
917;10;due;due;0;9;0;1
918;10;thrower;thrower;9;0;1;0
919;10;price;price;10;0;0;0
920;10;horizon;horizon;10;0;0;0
921;10;ago;ago;0;0;0;10
922;10;mist;mist;9;1;0;0
923;10;neon;neon;3;6;0;1
924;10;justic;justice;10;0;0;0
925;10;disguis;disguise / disguised;7;1;2;0
926;10;ran;ran;0;0;10;0
927;10;task;task / tasks;10;0;0;0
928;10;ripper;ripper;10;0;0;0
929;10;birth;birth;10;0;0;0
930;10;poser;posers;10;0;0;0
931;10;colder;colder;8;1;0;1
932;10;yesterday;yesterday;10;0;0;0
933;10;ce;ce;10;0;0;0
934;10;nine;nine;0;0;0;10
935;10;moonchild;moonchild;9;1;0;0
936;10;altar;altar;9;1;0;0
937;10;cours;course;10;0;0;0
938;10;ohh;ohh;3;3;2;2
939;10;huddersfield;huddersfield;8;1;1;0
940;10;univers;universe / universal;6;4;0;0
941;10;thin;thin;0;10;0;0
942;10;soir;soir;5;5;0;0
943;9;gift;gift / gifted;7;2;0;0
944;9;sorrow;sorrow / sorrows;7;1;1;0
945;9;front;front;7;1;1;0
946;9;lucki;lucky;0;9;0;0
947;9;tempt;tempt / tempted;0;0;3;6
948;9;rather;rather;0;0;0;9
949;9;anyon;anyone;9;0;0;0
950;9;rape;rape / raping;1;0;8;0
951;9;screw;screwed / screwing / screw;1;0;8;0
952;9;gaze;gaze / gazing / gazed;2;1;6;0
953;9;haunt;haunted / haunting / haunt;0;0;9;0
954;9;duti;duty / duties;9;0;0;0
955;9;surpris;surprise / surprised;7;2;0;0
956;9;letter;letter / letters;9;0;0;0
957;9;wander;wander / wandering / wanders / wandered;1;0;8;0
958;9;possess;possession / possess / possessed / possessing;4;0;5;0
959;9;giant;giants / giant;8;1;0;0
960;9;tribe;tribe / tribes;9;0;0;0
961;9;thief;thief;9;0;0;0
962;9;summon;summon / summoned / summons;2;0;7;0
963;9;serv;serve / serves / serving;2;0;7;0
964;9;condemn;condemn / condemned;6;0;3;0
965;9;defi;defy / defies / defied / defying;3;0;6;0
966;9;emot;emotion / emotional / emotions;8;1;0;0
967;9;guard;guard / guards / guarded;3;0;4;2
968;9;england;england;1;0;8;0
969;9;torn;torn;0;4;5;0
970;9;tide;tide / tides / tidings;9;0;0;0
971;9;jail;jail;9;0;0;0
972;9;shield;shield / shields;7;1;1;0
973;9;fright;fright;8;1;0;0
974;9;grinder;grinder;7;2;0;0
975;9;heed;heed / heeds;0;0;9;0
976;9;banshe;banshee;8;1;0;0
977;9;thrown;thrown;0;0;8;1
978;9;clash;clash;7;0;2;0
979;9;easi;easy;0;9;0;0
980;9;kutulu;kutulu;7;2;0;0
981;9;church;church;9;0;0;0
982;9;melissa;melissa;5;0;1;3
983;9;wisdom;wisdom;7;1;1;0
984;9;happen;happened / happening / happen;0;0;9;0
985;9;million;millions / million;5;0;0;4
986;9;nail;nail / nailed / nails;4;0;5;0
987;9;among;among;0;0;0;9
988;9;miss;miss / missing / missed;0;0;9;0
989;9;small;small;0;9;0;0
990;9;throne;throne;8;0;1;0
991;9;thirteen;thirteen;2;7;0;0
992;9;forevermor;forevermore;1;0;0;8
993;9;hallow;hallowed / hallow / hallows;1;3;5;0
994;9;pierc;piercing / pierced;1;0;8;0
995;9;punch;punch / punches / punching;8;0;1;0
996;9;n;n;2;6;0;1
997;9;r;r;9;0;0;0
998;9;uninvit;uninvited;0;9;0;0
999;9;ceil;ceiling;9;0;0;0
1000;9;forth;forth;5;0;1;3
1001;9;tall;tall;2;7;0;0
1002;9;ideal;ideal / ideals;1;8;0;0
1003;9;evilsyd;evilsyde;4;3;1;1
1004;9;passion;passion;9;0;0;0
1005;9;write;write / writes / writings / writing;3;0;5;1
1006;9;snake;snake / snakes;3;0;6;0
1007;9;drop;drop / dropped;3;0;6;0
1008;9;orchestra;orchestra;7;2;0;0
1009;9;ocean;ocean;8;1;0;0
1010;9;egypt;egypt;4;1;3;1
1011;9;hunter;hunter / hunters;9;0;0;0
1012;9;alexand;alexander;3;0;5;1
1013;8;execut;execution / executing / executed;4;0;4;0
1014;8;depend;depend / depends / depending;0;0;8;0
1015;8;snap;snap / snapped / snapping;0;0;8;0
1016;8;pick;picking / pick / picked / picks;1;0;7;0
1017;8;howl;howling / howl / howled;2;0;6;0
1018;8;creep;creeping / creep / creeps;1;0;7;0
1019;8;expect;expect / expectation / expected;2;1;5;0
1020;8;resist;resist / resisted / resistance;1;0;7;0
1021;8;wail;wailing / wail;1;0;7;0
1022;8;slaughter;slaughter / slaughtered / slaughtering;5;0;3;0
1023;8;bid;bids / bid / bidding;7;0;1;0
1024;8;build;build / building;0;0;8;0
1025;8;nation;nations / nation;8;0;0;0
1026;8;creatur;creature / creatures;8;0;0;0
1027;8;dwell;dwell / dwells;0;0;7;1
1028;8;shiver;shiver / shivering / shivers;4;0;3;1
1029;8;reveal;revealed / reveal;0;2;6;0
1030;8;domin;domination / dominance / dominant / dominations;7;1;0;0
1031;8;boil;boiling / boil;2;0;6;0
1032;8;reign;reign / reigns / reigned;3;0;5;0
1033;8;person;personal / person / personally;3;3;0;2
1034;8;beckon;beckon / beckons / beckoning / beckoned;1;0;7;0
1035;8;gener;generation / general / generate / generating / generations;4;2;2;0
1036;8;spit;spitting / spit;2;0;6;0
1037;8;wield;wield / wielded / wielding;0;0;8;0
1038;8;mend;mend / mending;1;0;7;0
1039;8;youth;youth / youths;8;0;0;0
1040;8;smash;smash / smashed / smashing;2;0;6;0
1041;8;enter;enter / entering / entered;0;0;8;0
1042;8;trembl;tremble / trembles / trembling;1;5;2;0
1043;8;firepow;firepower;1;4;2;1
1044;8;abus;abused / abuse;0;2;5;1
1045;8;rockin;rockin;7;1;0;0
1046;8;north;north;4;4;0;0
1047;8;sheriff;sheriff;8;0;0;0
1048;8;gangland;gangland;2;0;6;0
1049;8;2;2;0;0;0;8
1050;8;c;c;6;2;0;0
1051;8;onward;onward / onwards;2;1;0;5
1052;8;tune;tune;7;0;1;0
1053;8;becam;became;0;0;8;0
1054;8;mission;mission;8;0;0;0
1055;8;crystal;crystal / crystals;2;6;0;0
1056;8;fed;fed;0;0;8;0
1057;8;astray;astray;0;2;0;6
1058;8;co;cos;7;0;1;0
1059;8;thou;thou;6;1;1;0
1060;8;arab;arab;4;2;2;0
1061;8;class;class;8;0;0;0
1062;8;will;willing;0;8;0;0
1063;8;jesu;jesus;6;0;2;0
1064;8;coven;coven;7;1;0;0
1065;8;traitor;traitors;8;0;0;0
1066;8;ahh;ahh;6;1;1;0
1067;8;tiger;tiger;8;0;0;0
1068;8;joke;joke / jokes;7;0;1;0
1069;8;neck;neck / necks;8;0;0;0
1070;8;deed;deeds;8;0;0;0
1071;8;beneath;beneath;0;0;0;8
1072;8;battlefield;battlefield;8;0;0;0
1073;8;doctor;doctor;8;0;0;0
1074;8;breathless;breathless;1;4;0;3
1075;8;women;women;8;0;0;0
1076;8;slain;slain;6;1;1;0
1077;8;suicid;suicide / suicides;6;0;1;1
1078;8;row;row / rows;7;0;1;0
1079;8;stair;stairs / stair;8;0;0;0
1080;8;suddenli;suddenly;0;0;0;8
1081;8;asid;aside;0;2;0;6
1082;8;spi;spy;4;0;4;0
1083;8;fierc;fierce;7;1;0;0
1084;8;least;least;0;6;2;0
1085;8;candl;candles / candle;6;1;1;0
1086;8;anyth;anything;8;0;0;0
1087;8;electra;electra;2;5;0;1
1088;8;otherworld;otherworld;5;0;3;0
1089;8;taker;taker;8;0;0;0
1090;8;ridin;ridin;5;1;2;0
1091;8;order;order / orders;8;0;0;0
1092;8;hello;hello;6;0;1;1
1093;8;claw;claws / clawing;7;1;0;0
1094;7;gear;gear / geared;6;0;1;0
1095;7;balanc;balancing / balance;1;0;6;0
1096;7;prove;prove;0;0;7;0
1097;7;spear;spear / spears / speared;5;1;1;0
1098;7;forg;forged / forging / forge;0;0;7;0
1099;7;ear;ears / ear;7;0;0;0
1100;7;v;v;6;0;1;0
1101;7;reel;reeling;1;0;6;0
1102;7;mountainsid;mountainside;1;6;0;0
1103;7;daddi;daddy;1;5;1;0
1104;7;spike;spikes / spike / spiked;5;2;0;0
1105;7;struck;struck;0;0;7;0
1106;7;somehow;somehow;0;0;4;3
1107;7;ahead;ahead;0;0;0;7
1108;7;honor;honor / honored;4;2;1;0
1109;7;mankind;mankind;3;0;3;1
1110;7;plan;planned / plan / plans;3;0;4;0
1111;7;car;car / cars;7;0;0;0
1112;7;unfold;unfold / unfolds;1;0;6;0
1113;7;thirst;thirst / thirsting;4;2;1;0
1114;7;desper;desperate / desperation;2;5;0;0
1115;7;celebr;celebration / celebrate;5;0;2;0
1116;7;restor;restoration / restored;5;1;1;0
1117;7;charm;charms / charm;6;0;1;0
1118;7;toll;toll / tolling;5;0;2;0
1119;7;rob;robbed / rob;0;0;7;0
1120;7;daughter;daughter / daughters;7;0;0;0
1121;7;scratch;scratch / scratching / scratched;0;0;7;0
1122;7;finish;finished / finish;0;0;7;0
1123;7;burst;burst / bursting / bursts;5;0;2;0
1124;7;breed;breed / breeds;5;0;2;0
1125;7;scorch;scorching / scorched / scorch;0;0;7;0
1126;7;situat;situation;7;0;0;0
1127;7;engin;engine / engines;7;0;0;0
1128;7;glow;glow / glowing / glows;3;1;3;0
1129;7;dri;dry / dries;0;4;3;0
1130;7;glide;glides / gliding / glide;4;0;2;1
1131;7;troubl;trouble / troubles;7;0;0;0
1132;7;knock;knock / knocking / knocks / knocked;2;0;5;0
1133;7;leader;leader / leaders;7;0;0;0
1134;7;endless;endless;2;4;0;1
1135;7;cheater;cheater;7;0;0;0
1136;7;jugul;jugulator / jugulate;6;0;1;0
1137;7;hunger;hunger / hungers;6;0;1;0
1138;7;bet;bet;1;0;4;2
1139;7;sunday;sunday;3;3;1;0
1140;7;descend;descend / descending / descends / descendant / descended / descendants;3;0;4;0
1141;7;roam;roaming / roam / roams;0;0;7;0
1142;7;groan;groan / groans;6;0;1;0
1143;7;shed;shed;0;0;7;0
1144;7;quickli;quickly;0;0;0;7
1145;7;loneli;loneliness;3;4;0;0
1146;7;unholi;unholy;0;7;0;0
1147;7;sentinel;sentinel;7;0;0;0
1148;7;sink;sink / sinking / sinks;4;0;3;0
1149;7;burnt;burnt;2;0;4;1
1150;7;eas;ease / eases;1;0;6;0
1151;7;fine;fine;0;4;3;0
1152;7;later;later;0;0;0;7
1153;7;stuck;stuck;2;0;5;0
1154;7;choke;choke / choked / choking;1;1;5;0
1155;7;breakdown;breakdown;3;0;0;4
1156;7;claim;claim;3;0;4;0
1157;7;challeng;challenge / challengers / challenged;3;1;3;0
1158;7;warlord;warlord;7;0;0;0
1159;7;bringer;bringer / bringers;6;0;1;0
1160;7;clutch;clutching / clutch;3;0;4;0
1161;7;feast;feast / feasts;3;0;2;2
1162;7;fit;fit / fitting;1;5;1;0
1163;7;armageddon;armageddon;2;0;0;5
1164;7;asleep;asleep;1;2;0;4
1165;7;joy;joy / joys;5;0;2;0
1166;7;squar;square;2;0;5;0
1167;7;lip;lips / lip;7;0;0;0
1168;7;half;half;5;1;0;1
1169;7;perfect;perfect / perfection;2;5;0;0
1170;7;societi;society;7;0;0;0
1171;7;written;written;0;0;7;0
1172;7;madman;madman;5;2;0;0
1173;7;overhead;overhead;0;3;0;4
1174;7;religion;religion;7;0;0;0
1175;7;tabl;table / tables;5;0;2;0
1176;7;reborn;reborn;1;1;5;0
1177;7;anyway;anyway;0;0;0;7
1178;7;crackl;crackle;5;0;2;0
1179;7;violenc;violence;7;0;0;0
1180;7;funer;funeral;0;7;0;0
1181;7;anybodi;anybody;6;0;1;0
1182;7;differ;different;0;7;0;0
1183;7;sought;sought;0;1;6;0
1184;7;diseas;disease;6;1;0;0
1185;7;loos;loose;1;2;2;2
1186;7;daylight;daylight;5;2;0;0
1187;7;arriv;arrived / arrive / arrival / arriving;1;1;5;0
1188;7;abductor;abductors;7;0;0;0
1189;7;temptat;temptation / temptations;7;0;0;0
1190;7;doubt;doubt / doubts;7;0;0;0
1191;6;ach;aches / aching / ached / ache;3;0;3;0
1192;6;glove;gloves / glove;5;0;1;0
1193;6;speaker;speakers / speaker;6;0;0;0
1194;6;vike;viking / vikings;1;0;5;0
1195;6;trumpet;trumpet / trumpets;6;0;0;0
1196;6;maim;maim / maiming;3;0;3;0
1197;6;assimil;assimilation / assimilated;5;0;1;0
1198;6;forest;forest / forests;3;3;0;0
1199;6;lion;lion / lions;6;0;0;0
1200;6;mourn;mourn / mourning / mournful;3;0;3;0
1201;6;piec;piece / pieces;6;0;0;0
1202;6;direct;direction / directed / directions;4;0;2;0
1203;6;inform;information / inform;5;0;1;0
1204;6;siren;sirens / siren;6;0;0;0
1205;6;footstep;footstep / footsteps;6;0;0;0
1206;6;offer;offering / offer / offered;2;0;4;0
1207;6;consum;consumed / consume / consuming;0;0;6;0
1208;6;wizard;wizard / wizards;5;1;0;0
1209;6;nois;noises / noise;5;0;1;0
1210;6;figur;figures / figure;6;0;0;0
1211;6;mesmer;mesmerize / mesmerized / mesmerizing;0;0;6;0
1212;6;thank;thank / thanks / thankfully;3;0;2;1
1213;6;lot;lots / lot;6;0;0;0
1214;6;symbol;symbols / symbol;6;0;0;0
1215;6;fulfil;fulfilled / fulfill;0;0;6;0
1216;6;destin;destination / destined;4;0;2;0
1217;6;secur;secure / secured / security;2;2;2;0
1218;6;crucifi;crucify / crucified;0;2;4;0
1219;6;whirlwind;whirlwinds / whirlwind;6;0;0;0
1220;6;guy;guy / guys;6;0;0;0
1221;6;slay;slay / slays / slaying;0;0;6;0
1222;6;cleans;cleansed / cleansing;0;0;6;0
1223;6;card;cards / card;6;0;0;0
1224;6;test;test / tests / tested;4;0;2;0
1225;6;navig;navigator / navigators;6;0;0;0
1226;6;dig;dig / digging;1;0;5;0
1227;6;satisfi;satisfied / satisfy;0;1;5;0
1228;6;strain;strain / straining;5;0;1;0
1229;6;pool;pool / pools;6;0;0;0
1230;6;strap;strap / strapped / strappings;2;0;4;0
1231;6;pour;pouring / poured / pour;2;0;4;0
1232;6;check;check / checks;3;0;3;0
1233;6;stalk;stalking / stalk / stalks;1;0;5;0
1234;6;statu;statues / statue;4;0;2;0
1235;6;cloak;cloak / cloaked / cloaking;2;0;4;0
1236;6;punish;punisher / punishment;3;0;0;3
1237;6;adrenalin;adrenalin / adrenaline;3;3;0;0
1238;6;bawl;bawl / bawling;4;0;2;0
1239;6;loss;loss / losses;6;0;0;0
1240;6;exist;existence / exist;3;0;3;0
1241;6;sacrif;sacrificed / sacrificing;0;0;6;0
1242;6;form;form / forming / forms;5;0;1;0
1243;6;princ;prince / princes;6;0;0;0
1244;6;act;act / acts / acting;3;0;3;0
1245;6;revel;revelation;6;0;0;0
1246;6;anywher;anywhere;0;0;0;6
1247;6;reput;reputation;6;0;0;0
1248;6;slow;slow;0;4;2;0
1249;6;forgot;forgot;0;4;2;0
1250;6;behold;behold;0;1;5;0
1251;6;ahhh;ahhh;3;0;2;1
1252;6;monday;monday;2;2;2;0
1253;6;defil;defiled / defiling;1;0;5;0
1254;6;ledg;ledge;6;0;0;0
1255;6;distanc;distance;6;0;0;0
1256;6;jawbreak;jawbreaker;6;0;0;0
1257;6;grown;grown;1;0;5;0
1258;6;upsid;upside;0;1;0;5
1259;6;bruce;bruce;2;0;4;0
1260;6;rod;rod;6;0;0;0
1261;6;cathedr;cathedral;0;6;0;0
1262;6;spoke;spoke;1;0;5;0
1263;6;frame;frame / frames;5;0;1;0
1264;6;hector;hector;6;0;0;0
1265;6;drown;drown;5;0;0;1
1266;6;seriou;serious;0;6;0;0
1267;6;fame;fame;4;0;2;0
1268;6;baptis;baptised;0;0;6;0
1269;6;soil;soil;6;0;0;0
1270;6;track;track;5;0;1;0
1271;6;nick;nick;5;1;0;0
1272;6;u;u;0;6;0;0
1273;6;lamia;lamia;2;0;4;0
1274;6;greed;greed;4;0;2;0
1275;6;boat;boat;5;0;0;1
